Disease	Category	Gene	From_MarkerDB	Info_MarkerDB	From_KEGG	Info_KEGG	From_DisGeNET	Info_DisGeNET	From_PubMed
Abnormal involuntary movements	nervous	BBS9	X	X	X	X	X	X	O
Abnormal involuntary movements	nervous	GDI1	X	X	X	X	X	X	O
Abnormal involuntary movements	nervous	LMOD1	X	X	X	X	X	X	O
Absence epilepsy	nervous	CACNA1A	X	X	X	X	O	X	X
Absence epilepsy	nervous	CACNA1H	X	X	X	X	O	X	X
Absence epilepsy	nervous	CACNA2D2	X	X	X	X	O	X	X
Absence epilepsy	nervous	EFHC1	X	X	X	X	O	X	X
Absence epilepsy	nervous	GABRB3	X	X	X	X	O	X	X
Absence epilepsy	nervous	JRK	X	X	X	X	O	X	X
Absence epilepsy	nervous	KCNK9	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA1A	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA1H	X	X	X	X	O	X	X
Absence seizure disorder	nervous	CACNA2D2	X	X	X	X	O	X	X
Absence seizure disorder	nervous	EFHC1	X	X	X	X	O	X	X
Absence seizure disorder	nervous	GABRB3	X	X	X	X	O	X	X
Absence seizure disorder	nervous	JRK	X	X	X	X	O	X	X
Absence seizure disorder	nervous	KCNK9	X	X	X	X	O	X	X
Absence status epilepticus	nervous	ARSL	X	X	X	X	X	X	O
Absence status epilepticus	nervous	GJA8	X	X	X	X	X	X	O
Achromatopsia	nervous	ATF6	X	X	O	-	X	X	X
Achromatopsia	nervous	CNGA3	X	X	O	-	X	X	X
Achromatopsia	nervous	CNGB3	X	X	O	-	X	X	X
Achromatopsia	nervous	GNAT2	X	X	O	-	X	X	X
Achromatopsia	nervous	PDE6C	X	X	O	-	X	X	X
Achromatopsia	nervous	PDE6H	X	X	O	-	X	X	X
Acquired neuromyotonia	nervous	HINT1	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	EPO	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	PNPLA6	X	X	X	X	O	X	X
Acquired polyneuropathy	nervous	SCP2	X	X	X	X	O	X	X
Acroparaesthesia	nervous	ELP1	X	X	X	X	X	X	O
Acroparaesthesia	nervous	GLA	X	X	X	X	X	X	O
Acroparaesthesia	nervous	NAT8	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	AGER	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	APOBEC3C	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	CCL22	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	DENND1B	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	FCGR1A	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	IGHE	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	LINC00278	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	MOK	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	MUC1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	RANGAP1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SCGB1A1	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SH3BP5	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SLC17A5	X	X	X	X	X	X	O
Acute bronchiolitis	respiratory	SMR3A	X	X	X	X	X	X	O
Acute bronchitis	respiratory	ARCN1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	BRD4	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CALCA	X	X	X	X	X	X	O
Acute bronchitis	respiratory	COPD	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CRP	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CSRP1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	CTAA1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	HACD1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	LNPEP	X	X	X	X	X	X	O
Acute bronchitis	respiratory	PPIAP10	X	X	X	X	X	X	O
Acute bronchitis	respiratory	SERPINB6	X	X	X	X	X	X	O
Acute bronchitis	respiratory	SORBS1	X	X	X	X	X	X	O
Acute bronchitis	respiratory	UROD	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ACAT1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	AQP4	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ATM	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHI3L1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHKA	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CHKB	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CISH	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CMPK1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CND	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	COL9A3	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	COX5A	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CSF2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CXCL13	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	CYREN	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DGCR2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DNAAF4	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	DYX1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ELANE	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ENO2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	ERMAP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	FANCA	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	FXN	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	GFAP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	GYPC	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	IGHG3	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	IGLL1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	LAMC2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MBL2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MBP	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MCL1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MOG	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MS	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MST1R	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	MTR	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	NDUFB6	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	NEFL	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	NELFE	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	NLRP3	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	PEX7	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	PHYH	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	PON1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	PRG2	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	RANGAP1	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	S100B	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	SLC17A5	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	SLC25A5	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	SPARC	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	THBD	X	X	X	X	X	X	O
Acute disseminated encephalomyelitis	nervous	TNFSF13B	X	X	X	X	X	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	CSF2	X	X	X	X	X	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	LAMC2	X	X	X	X	X	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	MS	X	X	X	X	X	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	MTR	X	X	X	X	X	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	PMP22	X	X	X	X	O	X	O
Acute inflammatory demyelinating polyneuropathy	nervous	TCN1	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	AKR1C2	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	AP3B1	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	ATP2A2	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	CALCA	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	CBX4	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	FLVCR1	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	KRT16	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	KRT17	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	KRT6B	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	NDUFB6	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	NOS3	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PCSK1	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PCSK2	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PCYT1A	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PKD1	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PKD2	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PREP	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	PROC	X	X	X	X	X	X	O
Acute pulmonary thromboembolism	respiratory	VEGFD	X	X	X	X	X	X	O
Acute repetitive seizures	nervous	CSF2	X	X	X	X	X	X	O
Acute repetitive seizures	nervous	LAMC2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	A4GALT	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ABL1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ACAT1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ACE2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ACSM3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AGER	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AHSA1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ALB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AMACR	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AMH	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ANGPT2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ANGPTL4	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AP3B1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	APCS	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ARCN1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ATAT1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ATP12A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ATP5MC3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ATP6V0A2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	AZU1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	B3GALNT1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BBS9	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BCAM	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BCL2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BGLAP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BLOC1S3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BMP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	BPIFA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CALCA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CALML3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CALR	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CARTPT	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CCL5	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CCM2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CCN1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CCN3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CCNA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CD14	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CD1E	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CD40	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CD5	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CD82	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CDK2AP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CDKN2A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CEL	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CFH	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CLTA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	COL4A5	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	COPD	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	COTL1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	COX5A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	COX8A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CPA3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CPA4	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CPB1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CPE	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CPOX	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CRK	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CRP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CRTAP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CRYGC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CRYGEP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CS	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CSRP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CSRP3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CTPP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CTSG	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CUX1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CXCL10	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CXCL12	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CXCL9	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CXCR1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CXXC1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CYREN	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	CYTIP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	DDX58	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	DIO3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	DMBT1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	EDA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	EGF	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	EHHADH	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ELANE	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ENPP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	EPHA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ERBB2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	EREG	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ERVK-11	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ERVK-19	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ERVK-9	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ESM1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ESR1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	F3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FABP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FAM126A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FBF1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FCGR3A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FCGR3B	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FGF7	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FKBP4	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FN1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	FOLR2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GBAP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GDF15	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GPC3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GPHA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GPNMB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	GUCY2D	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	H3P42	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	H3P8	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HCC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HDLBP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HEBP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HGF	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HK1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HMGB1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HMOX1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HOOK1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HOXD13	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	HR	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IGFBP7	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IGKV1D-39	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IGKV2D-23	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IGKV2D-28	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IGKV7-3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL17A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL18	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL1B	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL1RL1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL1RN	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL22	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IL6	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IRF6	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IRF7	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	IS1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	ITLN1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	KAT8	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	KCNA4	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	KDM6A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	KRT17	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LAMTOR2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LARP1BP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LBP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LCN1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LINC01672	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	LMOD1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAEA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAP2K2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAPK1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAPK14	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAPK3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MAS1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MBTPS1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MCL1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MEG3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MID1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MIF	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MMP3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MMP7	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MMP8	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MNT	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MOK	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MRC1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MS	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MS4A1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MSC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MSMB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MTLN	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MTR	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MUC1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	MUC5AC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NAAA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NAMPT	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NDUFA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NDUFB6	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NEU1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NFKB1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NFKB2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NMB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NOVA2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NPPB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NR1H4	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	NT5E	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	OFC1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	OMA1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	OSM	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PACC1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PAH	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PARP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PARP9	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PCYT1A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PI3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PIK3CA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PIK3CB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PIK3CD	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PIK3CG	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PITX3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PLXNA3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PMEL	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PMP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PODXL	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PODXL2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	POLDIP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	POMC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PPIAP10	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PPP1CB	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PPP3CA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PRCP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PREP	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PRF1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PRM1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PRTN3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PSIP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PSPN	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PTPRC	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	PTX3	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RANGAP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	REG1A	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RELA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RIDA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RIOX1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RIOX2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RNU6-392P	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RPLP1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RPLP2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RPSA	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	RRM2	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	S100A1	X	X	X	X	X	X	O
Acute respiratory distress syndrome	respiratory	S100A12	X	X	X	X	X	X	O
